model,overall_MAE,overall_RMSE,overall_R2,positive_MAE,positive_RMSE,positive_R2
HistGradientBoosting,1039.2253677518097,1498.5472000141501,-0.05391015096891061,1455.0388468878957,2021.7542329514197,0.08515965237657452
RandomForest,1040.2070904544712,1483.6532231536748,-0.03306475079874627,1418.088453019181,1993.219451261982,0.11080129514536918
GradientBoosting,1049.9659803233965,1498.9556537141648,-0.05448475037687128,1443.3259421692487,2019.0483630523095,0.08760681670861448
ExtraTrees,1057.923585685139,1523.5531430544604,-0.08937636676139249,1433.0184057704757,2014.818195792834,0.09142597496877147
