model,accuracy,precision,recall,f1,roc_auc,pr_auc
Logistic Regression,0.5017126737860165,0.4044598231449443,0.5323886639676113,0.45968975311339305,0.5088095986792972,0.40925172290078593
Decision Tree,0.4922425952045134,0.39812734082397006,0.5379554655870445,0.4575979337064141,0.49274513106050644,0.39249419998167717
SVM,0.5095708240983277,0.40442404006677796,0.49038461538461536,0.4432753888380604,0.4986398550263016,0.3938884013265626
Random Forest,0.5466451742897441,0.42126436781609194,0.3709514170040486,0.39451022604951563,0.5228854387907653,0.41614148624183755
XGBoost,0.5948015313318558,0.458628841607565,0.09817813765182186,0.1617340558566069,0.5210876686966057,0.4178511568504393
Gradient Boosting,0.5964134596010477,0.4117647058823529,0.03188259109311741,0.05918271488961954,0.5161504508741659,0.41242203797197285
